*,texエクスポート時に最初はここが表示されます、エクスポート毎に保存されます,导出 .tex 文件时，文件选择器将默认在此路径下打开,
*,texインポート時のデフォルトパス,.tex 默认导入路径,
*,texインポート時に最初はここが表示されます、インポート毎に保存されます,导入 .tex 文件时，文件选择器将默认在此路径下打开,
# anm_export.py
*,カスタムメイド3D2のanmファイルを保存します,保存 CM3D2 的 .anm 文件,
*,ボーン親情報の参照先,骨骼父级信息的参照来源,
*,Export Method,导出方法,
*,Bake All Frames,烘焙所有帧,
*,"Export every frame as a keyframe (legacy behavior, large file sizes)",将每一帧导出为关键帧（旧版行为，文件较大）,
*,Only Export Keyframes,仅导出关键帧,
*,Only export keyframes and their tangents (for more advance users),仅导出关键帧及其切线（适合高级用户）,
*,From Anm Text JSON,从 Anm 文本文件的 JSON 读取,
*,Export data from the JSON in the 'AnmData' text file,"从 ""AnmData"" 文本文件的 JSON 导出数据",
*,最終フレーム,最后一帧,
*,開始フレーム,起始帧,
*,同じ変形のキーフレームを掃除,清理关键帧,
*,親も子も存在しない,移除游离骨骼（无父级子级）,
*,名前がIK/Nubっぽい,移除 IK 骨骼,
*,名前に日本語が含まれる,移除骨骼中的日文字符,
*,名前が連番付き,移除重复编号,
*,Remove Unkeyed Bones,移除未设关键帧的骨骼,
*,キーフレーム間の変形をスムーズに,平滑过渡,
*,Use Visual Transforms,使用可视变换,
*,キーフレーム数,关键帧数量,
*,再生速度,播放速度,
*,除外するボーン,要排除的骨骼,
*,輸出アニメーション情報,要导出的动画数据,
*,Creating missing FCurve for {path}[{index}],正在为 {path}[{index}] 创建缺失的 FCurve,
*,Creating missing keyframe @ frame {frame} for {path}[{index}],正在为 {path}[{index}] 在第 {frame} 帧创建缺失的关键帧,
# anm_import.py
*,カスタムメイド3D2のanmファイルを読み込みます,加载 CM3D2 的 .anm 文件,
*,Twisterボーンを除外,排除扭转骨骼,
*,Anm Text,Anm 文本,
*,Output Data to a JSON file,将数据输出到 JSON 文件,
*,位置,位置,
*,Loop,循环,
*,回転,旋转,
*,拡縮,缩放,
*,Tangents,切向,
*,既にあるアニメーションを削除,移除现有动画,
*,フレーム開始・終了位置を調整,设置帧范围,
*,Set Framerate,设置帧率,
*,Change the scene's render settings to 60 fps,将场景渲染设置更改为 60 fps,
*,読み込むアニメーション情報,要加载的动画数据,
*,これはカスタムメイド3D2のモーションファイルではありません,这不是一个 CM3D2 动画文件,
*,Unexpected first channel id = {id} (should be 1).,第一个通道 ID 异常：{id}（应为 1）,
*,Found the following tangent values:,找到以下切线值：,
*,Found the above tangent values.,已找到上述切线值,
*,Found {count} large tangents. Blender animation may not interpolate properly. See log for more info.,发现 {count} 个过大的切线。Blender 动画可能无法正确插值。详见日志,
*,Found the following unknown channel IDs:,找到以下未知通道 ID：,
*,Found the above unknown channel IDs.,已找到上述未知通道 ID,
*,Found {count} unknown channel IDs. Blender animation may be missing some keyframes. See log for more info.,发现 {count} 个未知通道 ID。Blender 动画可能缺少某些关键帧。详见日志,
*,"f1 = {float1}, f2 = {float2}","f1 = {float1}, f2 = {float2}",
*,id = {id},id = {id},
*,Unknown channel id {num},未知通道 ID {num},
# cm3d2_data.py
*,mateファイルではありません。ヘッダ:{},.mate 文件头无效：{},
*,Materialプロパティに未知の設定値タイプ({prop})が見つかりました。,在材质中发现未知设置值 “{prop}”！,
# common.py
*,CNV_SelectorItem,CNV_SelectorItem,
*,Filter 0,过滤器 0,
*,Filter 1,过滤器 1,
*,Filter 2,过滤器 2,
*,Filter 3,过滤器 3,
*,Prefered,首选,
*,Value,值,
*,CNV_UL_generic_selector,CNV_UL_generic_selector,
# mate_export.py
Operator,mateとして保存,导出 mate,
*,表示しているマテリアルをmateファイルとして保存します,将材质导出为单独的 .mate 文件,
*,名前1,名称 1,
*,名前2,名称 2,
*,表示しているテキストデータをmateファイルとして保存します,这将允许你把文本编辑器中的任意文本保存为 .mate 文件,
*,mateファイルの出力に失敗、中止します。 構文を見直して下さい。,导出 .mate 文件失败。操作已取消。请检查你的材质。,
# mate_import.py
Operator,mateを開く,导入 mate,
*,mateファイルをマテリアルとして開きます,将 .mate 文件导入为材质,
*,mateファイルをテキストとして開きます,将 .mate 文件作为文本导入到文本编辑器,
*,現在のテキストに上書き,覆盖文本编辑器中的当前文本,
*,mateファイルのインポートを中止します。,这不是一个 CM3D2 .mate 文件,
*,上書きする為のテキストデータが見つかりません,未找到用于覆盖的文本数据,
# menu_OBJECT_PT_cm3d2_menu.py
Operator,Align Attach Point to Selected,将附着点对齐到选中项,
*,Align the active CM3D2Menu's active attach point to the first other selected object,将当前 CM3D2 menu 的活动附着点与第一个选定的对象对齐,
Operator,Align Selected to Attach Point,将选中项对齐到附着点,
*,Align other selected objects to the active object's active CM3D2 attach point,将其他选中的对象对齐到当前对象的活动 CM3D2 挂载点,
Operator,Add Command,添加命令,
*,Adds a new CM3D2MenuCommand to the active CM3D2Menu,向当前 CM3D2 Menu 添加一条新命令,
*,String,字符串,
*,Type,类型,
*,End,结束,
*,Menu Name,菜单名称,
*,Menu Category,菜单类别,
*,Menu Description,菜单描述,
*,Priority,优先级,
*,Folder,文件夹,
*,Icon (Small),图标（小）,
*,Icon (Large),图标（大）,
*,Unused,未使用,
*,Item Version,项目版本,
*,Item Category,项目类别,
*,Item Category Number,项目类别编号,
*,Item,条目,
*,Item Conditions,项目条件,
*,Item If,项目 If,
*,Item Parameters,项目参数,
*,Item Half Off,项目半价,
*,Item Resource Reference,项目资源参考,
*,Set,设置,
*,Set Name,设置名称,
*,Set Slot Item,设置槽位项目,
*,Add Item,添加项目,
*,Unset Item,取消设置项目,
*,Disable Item Floor,禁用项目 Floor,
*,Mask Item,遮罩项目,
*,Delete Item,删除项目,
*,Node Hide,节点隐藏,
*,Node Display,节点显示,
*,Parts-Node Hide,部分-节点隐藏,
*,Parts-Node Display,部分-节点显示,
*,Color,颜色,
*,Man Color,男性颜色,
*,Color-Set,颜色-设置,
*,Texture,纹理,
*,Texture Change,纹理更改,
*,Texture Multiplication,纹理乘算,
*,Texture Composition,纹理合成,
*,Texture Set Composition,纹理设置合成,
*,Material Change,材质更改,
*,Material Properties,材质属性,
*,Shader,着色器,
*,Face Blend-Set,脸部混合-设置,
*,Face Parameter-Set,脸部参数-设置,
*,Profile Comment Type,配置注释类型,
*,Bone Morph,骨骼形变,
*,Hair Length,毛发长度,
*,Animation,动画,
*,Animation (Material),动画 (材质),
*,Parameter 2,参数 2,
*,Set String,设置字符串,
*,Decorative,装饰,
*,addattribute,添加属性,
*,Custom,自定义,
*,Some other manually entered miscillaneous command,其他手动输入的杂项命令,
Operator,Move Command,移动命令,
*,Moves the active CM3D2MenuCommand up/down in the list,在列表中上移/下移活动的 CM3D2 Menu 命令,
*,Direction,方向,
*,Up,向上,
*,Move the active CM3D2MenuCommand up in the list,在列表中上移活动的 CM3D2 Menu 命令,
*,Down,向下,
*,Move the active CM3D2MenuCommand down in the list,在列表中下移活动的 CM3D2 Menu 命令,
Operator,Remove Command,移除命令,
*,Removes the active CM3D2MenuCommand from the active CM3D2Menu,从活动 CM3D2 Menu 中移除活动的 CM3D2 Menu 命令,
Operator,Export CM3D2 Menu File,导出 CM3D2 Menu 文件,
*,Writes the active CM3D2Menu to a .menu file,将活动 CM3D2 Menu 写入 .menu 文件,
*,Backup,备份,
*,Will backup overwritten files.,将为被覆盖的文件创建备份。,
Operator,Import CM3D2 Menu File,导入 CM3D2 菜单文件,
*,Open a .menu file,打开 .menu 文件,
Operator,Add Parameter,添加参数,
*,Adds a new CM3D2MenuParam to the active CM3D2MenuCommand,向当前 Menu 命令添加一个新参数,
Operator,Move Parameter,移动参数,
*,Moves the active CM3D2MenuParameter up/down in the list,在列表中上移/下移当前 Menu 命令参数,
Operator,Remove Parameter,移除参数,
*,Removes the active CM3D2MenuParam from the active CM3D2MenuCommand,从当前 Menu 命令中移除该参数,
*,CM3D2 Menu,CM3D2 Menu,
*,Successfully exported to .menu file,已成功导出为 .menu 文件,
# menu_file.py
*,Command,命令,
*,The command of this menu file command-chunk,此 Menu 文件命令块的命令,
*,Location,位置,
*,Location of the attatchment relative to the base bone,相对于基础骨骼的附着位置,
*,Point Name,点名称,
*,Name of the slot to define the attatchment point for,用于定义附着点的槽位名称,
*,Rotation,旋转,
*,Rotation of the attatchment relative to the base bone,相对于基础骨骼的附着旋转,
*,Parameters,参数,
*,Search,搜索,
*,Search for suggestions,搜索建议,
*,Property Name,属性名,
*,Name of the property to set on load,加载时要设置的属性名称,
*,Property Value,属性值,
*,Value of the property to set on load,加载时要设置的属性值,
*,Slot Name,槽位名称,
*,Active Command Index,活动命令索引,
*,Category,类别,
*,Commands,命令,
*,Description,描述,
*,Path,路径,
*,Version,版本,
*,CM3D2 Menu (.menu),CM3D2 菜单 (.menu),
*,Error {gerund} {bl_idname}: ,{gerund} {bl_idname} 时出错：,
# misc_DATA_PT_context_arm.py
Operator,ボーン名をCM3D2用→Blender用に変換,将骨骼名称从 CM3D2 格式转换为 Blender 格式,
*,CM3D2で使われてるボーン名をBlenderで左右対称編集できるように変換します,将 CM3D2 使用的骨骼名称转换为适用于 Blender 镜像编辑的格式,
Operator,ボーン名をBlender用→CM3D2用に変換,将骨骼名称从 Blender 格式转换为 CM3D2 格式,
*,CM3D2で使われてるボーン名に元に戻します,还原为 CM3D2 使用的骨骼名称,
Operator,Add CM3D2 Body Sliders,添加 CM3D2 身体滑块,
*,Adds drivers to armature to enable body sliders.,为骨架添加驱动器，以启用身体滑块。,
*,Drive Shape Keys,驱动器形态键,
*,Connect sliders to mesh children's shape keys,将滑块连接到网格子对象的形态键,
*,Fix Thigh,修正大腿,
*,Fix twist bone values for the thighs in motor-cycle pose,修正摩托车姿势下大腿扭转骨骼的数值,
Operator,Add CM3D2 Twist Bones,添加 CM3D2 扭转骨骼,
*,Adds drivers to armature to automatically set twist-bone positions.,为骨架添加驱动器，以自动设置扭转骨骼的位置。,
Operator,Cleanup Scale Bones,清理缩放骨骼,
*,Remove scale bones from the active armature object,从活动骨架对象中移除缩放骨骼,
*,Keep bones with children,保留带有子级的骨骼,
*,Will not remove scale bones that have children (for custom scale bones),不会移除带有子级的缩放骨骼（用于自定义缩放骨骼）,
Operator,Save CM3D2 Body Sliders to Menu,将 CM3D2 身体滑块保存到菜单,
*,Overwrite Existing,覆盖现有内容,
*,Body Sliders,身体滑块,
*,CM3D2 Sliders,CM3D2 滑块,
*,Wide Sliders,宽滑块,
*,Size of arms,手臂大小,
*,Breast size,胸部大小,
*,Leg length,腿部长度,
*,Belly,腹部,
*,Size of face (left to right),脸部大小（左右）,
*,Size of face (up and down),脸部大小（上下）,
*,Length of neck,颈部长度,
*,munel shapekey value,munel 形态键值,
*,munes shapekey value,munes 形态键值,
*,Breast sagging level,胸部下垂程度,
*,Position of the nipple,乳头位置,
*,Direction of breast,胸部方向,
*,Leg thickness,腿部粗细,
*,Leg definition,腿部线条,
*,Length of arms,手臂长度,
*,Shoulder width,肩宽,
*,Hip,臀部,
*,Height,高度,
*,Waist,腰部,
*,Calf Scale,小腿缩放,
*,Clavicle Position,锁骨位置,
*,Clavicle Scale,锁骨缩放,
*,Forearm Scale,前臂缩放,
*,Foot Scale,脚部缩放,
*,Hand Scale,手缩放,
*,Hips Position,臀部位置,
*,Hips Scale,臀部缩放,
*,Shoulders Scale,肩部缩放,
*,Rear Thigh Position,后大腿位置,
*,Rear Thigh Scale,后大腿缩放,
*,Thigh Position,大腿位置,
*,Thigh Scale,大腿缩放,
*,Breasts Position,胸部位置,
*,Breasts Scale,胸部缩放,
*,Breasts Sub-Position,胸部子-位置,
*,Breasts Sub-Scale,胸部子-缩放,
*,Neck Position,颈部位置,
*,Neck Scale,颈部缩放,
*,Pelvis Scale,骨盆缩放,
*,Upper Abdomen Position,上腹部位置,
*,Upper Abdomen Scale,上腹部缩放,
*,Upper Torso Scale,上躯干缩放,
*,Upper Chest Position,上胸部位置,
*,Upper Chest Scale,上胸部缩放,
*,Lower Chest Position,下胸部位置,
*,Lower Chest Scale,下胸部缩放,
*,Skirt Position,裙摆位置,
*,Skirt Scale,裙摆缩放,
*,Lower Abdomen Position,下腹部位置,
*,Lower Abdomen Scale,下腹部缩放,
*,Knee Position,膝部位置,
*,Legs Position,腿部位置,
*,Legs Scale,腿部缩放,
*,Knee Scale,膝部缩放,
*,Upper Arm Scale,上手臂缩放,
*,Empty,空,
*,This property never has a value,此属性永远没有值,
*,Enable All,启用全部,
*,"Enable all sliders, even ones without a GUI in-game",启用所有滑块，包括游戏中没有 GUI 的滑块,
*,ボーン情報,骨骼信息,
*,Armature Operators,骨架操作,
Operator,Connect Twist Bones,连接扭转骨骼,
Operator,Original,原始,
Operator,Pose data,姿势数据,
Operator,Swap Prime Field,交换参考字段,
*,Weight,权重,
*,Bust,胸围,
*,Cup,罩杯,
Operator,Connect Sliders,连接滑块,
*,Face Width,脸部宽度,
*,Face Height,脸部高度,
*,Leg Length,腿部长度,
*,Breast Size,胸部大小,
*,Breast Sag,胸部下垂,
*,Breast Pitch,胸部俯仰,
*,Breast Yaw,胸部左右,
*,Shoulders,肩部,
*,Arm Size,手臂大小,
*,Arm Length,手臂长度,
*,Neck Length,颈部长度,
*,Leg Fat,腿部脂肪,
*,Leg Meat,腿部肉感,
*,Enable All Sliders,启用全部滑块,
*,Successfully saved properties to menu file data in Properties > Object Tab > CM3D2 Menu File,"已成功将属性保存到""属性 > 对象选项卡 > CM3D2 Menu 文件""的菜单文件数据中",
*,ボーン名変換,转换骨骼名称,
*,ボーン名をBlender用に変換しました,骨骼名称已成功转换为 Blender 格式,
*,ボーン名をCM3D2用に戻しました,骨骼名称已成功转换回 CM3D2 格式,
*,Any existing data will be overwritten,现有数据将被覆盖,
*,Generated in blender using body sliders,由 Blender 中的身体滑块生成,
*,Position,位置,
*,Body,身体,
*,属性追加,添加属性,
*,クリックしても選択状態にしない,点击时不设为选中状态,
# misc_DATA_PT_modifiers.py
Operator,モディファイア強制適用,强制应用修改器,
*,シェイプキーのあるメッシュのモディファイアでも強制的に適用します,如果网格有形态键，将强制应用修改器,
*,Active Modifier,活动修改器,
*,Apply Renderer-Visible Modifiers,应用渲染器可见的修改器,
*,Apply Viewport-Visible Modifiers,应用视口可见的修改器,
*,Progress,进度,
*,Ensure shape key values are not changed,确保形态键数值不会改变,
*,CNV_UL_modifier_selector,CNV_UL_modifier_selector,
*,force_values,force_values,
*,Renderer,渲染器,
*,Only enable modifiers visible in renderer,仅启用在渲染器中可见的修改器,
*,Reverse Visible Filter,反转可见性过滤器,
*,Reverse the selected visible-in filter,反转所选可见性过滤器,
*,Viewport,视口,
*,Only enable modifiers visible in viewport,仅启用在视口中可见的修改器,
*,Visible in:,可见于：,
*,適用するモディファイア,应用,
*,適用対象のモディファイアがないため、キャンセルします,没有可应用的修改器，因此取消,
*,ミラー等が原因で頂点数が変わっているためシェイプキーを格納できません、中止するのでCtrl+Z等で元に戻し修正してください。,由于镜像等操作导致顶点数量发生变化，无法保存形态键。请使用 Ctrl + Z 或其他方式撤销。,
*,"Could not apply '{}' modifier \{}\"" to shapekey {}""","无法将修改器 '{}' \{}\"" 应用于形态键 {}""",
*,Vertex groups are not in blender naming style. Mirror modifier results may not be as expected,顶点组名称不是 Blender 风格，镜像修改器的结果可能不符合预期,
*,"Could not apply '{type}' modifier \{name}\""""","无法应用修改器 '{type}' \{name}\""""",
*,"Could not apply '{mod_type}' modifier \{mod_name}\""""","无法应用修改器 '{mod_type}' \{mod_name}\""""",
*,"Error applying '{type}' modifier \{name}\"":	""","应用修改器 '{type}' \{name}\"" 时出错：",
*,"Could not apply '{mod_type}' modifier \{mod_name}\"":	""","无法应用修改器 '{mod_type}' \{mod_name}\""：",
# misc_DATA_PT_vertex_groups.py
Operator,頂点グループ名をCM3D2用→Blender用に変換,将顶点组名称从 CM3D2 格式转换为 Blender 格式,
*,CM3D2で使われてるボーン名(頂点グループ名)をBlenderで左右対称編集できるように変換します,将 CM3D2 使用的骨骼名称（顶点组名称）转换为适用于 Blender 镜像编辑的格式,
Operator,頂点グループ名をBlender用→CM3D2用に変換,将顶点组名称从 Blender 格式转换为 CM3D2 格式,
*,CM3D2で使われてるボーン名(頂点グループ名)に戻します,还原为 CM3D2 使用的骨骼名称（顶点组名称）,
*,CM3D2用 頂点グループ名変換,CM3D2 顶点组名称转换,
*,頂点グループ名をBlender用に変換しました,顶点组名称已成功转换为 Blender 格式,
*,頂点グループ名をCM3D2用に戻しました,顶点组名称已成功还原为 CM3D2 格式,
# misc_DOPESHEET_MT_editor_menus.py
Operator,Convert to CM3D2 Interpolation,转换为 CM3D2 插值,
*,Convert keyframes to be compatible with CM3D2 Interpolation,将关键帧转换为兼容 CM3D2 插值的格式,
*,Selection Type,选择类型,
*,FCurves,FCurves,
*,KeyFrames,关键帧,
*,Keep Reports,保留报告,
*,'{interpolation}' interpolation not convertable,插值类型 “{interpolation}” 无法转换,
# misc_IMAGE_HT_header.py
*,CM3D2用: 内部パス,用于 CM3D2：内部路径,
# misc_IMAGE_PT_image_properties.py
*,内部パス,内部路径,
# misc_INFO_HT_header.py
Operator,頂点数をチェック,检查顶点数量,
*,選択メッシュがConverterで出力可能な頂点数に収まっているかをチェックします,检查导出器是否可以导出所选网格。,
*,UVが存在しないので測定できません。,没有 UV 贴图，无法计数。,
*,○ 出力可能な頂点数です、あと約{}頂点ほど余裕があります (頂点数:{}(+{}) UV分割で増加:+{}％),✓ 仍有顶点空间，你还可以再添加 {} 个顶点。（顶点：{}（+{}） UV 拆分：+{}%）,
*,× 出力できない頂点数です、あと約{}頂点減らしてください (頂点数:{}(+{}) UV分割で増加:+{}％),✗ 顶点过多；请移除 {} 个顶点。（顶点：{}（+{}） UV 拆分：+{}%）,
# misc_INFO_MT_add.py
Operator,CM3D2用の素体をインポート,导入 CM3D2 素体,
*,CM3D2関係の素体を現在のシーンにインポートします,将与 CM3D2 相关的素体导入到当前场景中。,
*,素体名,素体名,
Operator,body001,body001,
Operator,乳袋防止素体,大胸形态键素体（乳袋防止素体）,
Operator,Tスタンス素体,T-Pose 姿势素体,
Operator,Tスタンス素体 足のみ,仅腿部 T-Pose 姿势素体,
Operator,Tスタンス素体 手のみ,仅手臂 T-Pose 姿势素体,
Operator,anm出力用リグ,用于 .anm 导出的骨架,
Operator,anm出力用リグ(男),用于 .anm 导出（男性）的骨架,
# misc_INFO_MT_curve_add.py
Operator,髪の房を追加,添加一束头发,
*,アニメ調の髪の房を追加します,添加一束动漫风格的发束,
*,房の半径,半径,
*,ランダム要素の強さ,随机性,
*,中間のZ軸の高さ,中等 Z 轴高度,
Operator,髪の房,添加头发曲线,
*,ホイール:太さ変更,鼠标滚轮：更改粗细,
*,ホイールクリック:ランダム強度変更,鼠标中键：随机强度变化,
*,ZXキー:高さ変更,Z/X 键：更改高度,
*,オブジェクトモードで実行してください,请在物体模式下运行！,
# misc_INFO_MT_help.py
*,CM3D2 Converterの更新履歴,CM3D2 Converter 更新历史,
Operator,CM3D2 Converterを更新「luv」バージョン,更新 CM3D2 Converter（luv 版）,
*,GitHubから最新版のCM3D2 Converterアドオンをダウンロードし上書き更新します,将从 GitHub 下载并覆盖更新最新版 CM3D2 Converter 插件,
*,更新後にBlenderを再起動,更新后重启 Blender,
*,再起動後にコンソールを閉じる,重启后关闭控制台,
Operator,CM3D2 Converterの設定画面を開く,打开 CM3D2 Converter 设置界面,
*,CM3D2 Converterアドオンの設定画面を表示します,将在插件窗口中打开插件设置,
Operator,CM3D2 Converterの更新履歴,CM3D2 Converter 更新历史,
*,表示できるエリアが見つかりませんでした,无法打开设置窗口,
*,更新の取得に失敗しました,下载更新失败,
*,Blender-CM3D2-Converterを更新しました、再起動して下さい,Blender-CM3D2-Converter 已更新。请重启 Blender,
*,Blender-CM3D2-Converter updated,Blender-CM3D2-Converter 已完成更新,
*,{}日前,{} 天前,
*,{}時間前,{} 小时前,
*,{}分前,{} 分钟前,
*,{}秒前,{} 秒前,
# misc_MATERIAL_PT_context_material.py
Operator,マテリアルをクリップボードにコピー,复制材质到剪贴板,
*,表示しているマテリアルをテキスト形式でクリップボードにコピーします,将显示的材质以文本格式复制到剪贴板,
Operator,マテリアルを装飾,修饰材质,
*,スロット内のマテリアルを全て設定に合わせて装飾します,按你的设置修饰槽位中的所有材质,
Operator,マテリアルプロパティの詳細情報,材质属性的详细信息,
*,マテリアルプロパティの詳細情報の表示状態を切り替える,切换材质属性详细信息的显示状态,
Operator,CM3D2用マテリアルを新規作成,为 CM3D2 创建新材质,
*,Blender-CM3D2-Converterで使用できるマテリアルを新規で作成します,创建可在 Blender-CM3D2-Converter 中使用的新材质,
*,種類,类型,
*,トゥーン,卡通光照（CM3D2/Toony_Lighted）,
*,トゥーン 髪,卡通头发光照（CM3D2/Toony_Lighted_Hair）,
*,トゥーン 透過,卡通光照透明（CM3D2/Toony_Lighted_Trans）,
*,トゥーン 透過 NoZ,卡通光照透明 NoZ（CM3D2/Toony_Lighted_Trans_NoZ）,
*,トゥーン 輪郭線,卡通光照描边（CM3D2/Toony_Lighted_Outline）,
*,トゥーン 輪郭線 透過,卡通光照描边透明（CM3D2/Toony_Lighted_Outline_Trans）,
*,トゥーン 輪郭線 髪,卡通光照头发描边（CM3D2/Toony_Lighted_Hair_Outline）,
*,トゥーン無し 透過,光照透明（CM3D2/Lighted_Trans）,
*,トゥーン無し,光照（CM3D2/Lighted）,
*,発光,发光（Unlit/Texture）,
*,発光 透過,发光透明（Unlit/Transparent）,
*,モザイク,马赛克（CM3D2/Mosaic）,
*,ご主人様,主人剪影（CM3D2/Man）,
*,リアル,写实（Legacy Shaders__Diffuse）,
*,リアル 透過,写实透明（Legacy Shaders__Transparent__Diffuse）,
*,法線,法线,
Operator,COM3D2用マテリアルを新規作成,为 COM3D2 创建新材质,
*,トゥーン 透過 NoZTest,卡通光照透明 NoZTest（CM3D2/Toony_Lighted_Trans_NoZTest）,
*,トゥーン 輪郭線 Tex,卡通光照描边 Tex（CM3D2/Toony_Lighted_Outline_Tex）,
*,トゥーン Cutout,卡通光照裁剪（CM3D2/Toony_Lighted_Cutout_AtC）,
*,トゥーン無し Cutout,光照裁剪（CM3D2/Lighted_Cutout_AtC）,
Operator,クリップボードからマテリアルを貼付け,从剪贴板粘贴材质,
